cod_grupo;grupo;cod_proceso;proceso;cod_articulo;articulo;peso;cod_estandar;nombre_estandar;t_estandar
2;MANTENIMIENTO;1;MANTENIMIENTO;383;ABRAZADERA DALMINE EMPALME 48 MM;1;201383;MANTENIMIENTO_383;1,33332
2;MANTENIMIENTO;1;MANTENIMIENTO;385;ABRAZADERA DALMINE ORIENTABLE 48 MM;1,17;201385;MANTENIMIENTO_385;1,486486486
2;MANTENIMIENTO;1;MANTENIMIENTO;387;ABRAZADERA DALMINE ORTOGONAL 48 MM;1;201387;MANTENIMIENTO_387;1,33332
2;MANTENIMIENTO;1;MANTENIMIENTO;389;ABRAZADERA DALMINE ORTOGONAL 60 X 48 MM;2;201389;MANTENIMIENTO_389;1,33332
2;MANTENIMIENTO;1;MANTENIMIENTO;1699;ACOPLE AMD PESCANTE DE FIJACIÓN;1;2011699;MANTENIMIENTO_1699;1
2;MANTENIMIENTO;1;MANTENIMIENTO;2549;ACOPLE APUNTALAMIENTO FORMALETA METÁLICA (MENSULA-HALADOR);0,25;2012549;MANTENIMIENTO_2549;1
2;MANTENIMIENTO;1;MANTENIMIENTO;2520;ACOPLE APUNTALAMIENTO GRAN FORMATO;0,25;2012520;MANTENIMIENTO_2520;1
2;MANTENIMIENTO;1;MANTENIMIENTO;2562;ACOPLE COLGANTE - PLATAFORMA TIPO CAN;3,8;2012562;MANTENIMIENTO_2562;1,3
2;MANTENIMIENTO;1;MANTENIMIENTO;593;ACOPLE PARA BARANDA INTERNA;0;201593;MANTENIMIENTO_593;5,6
2;MANTENIMIENTO;1;MANTENIMIENTO;587;ACOPLE PLATAFORMA 85 CM;3,83;201587;MANTENIMIENTO_587;1
2;MANTENIMIENTO;1;MANTENIMIENTO;2529;ACOPLE PTS 100X100X500 MM (2 TORN  2 TUERCAS 4 ARAND);0;2012529;MANTENIMIENTO_2529;1,5
2;MANTENIMIENTO;1;MANTENIMIENTO;763;AJUSTES PARA FORMALETA ANDESCOL DE 25 X 1200;3;201763;MANTENIMIENTO_763;3,3333
2;MANTENIMIENTO;1;MANTENIMIENTO;764;AJUSTES PARA FORMALETA ANDESCOL DE 40 X 1200;3,5;201764;MANTENIMIENTO_764;3,3333
2;MANTENIMIENTO;1;MANTENIMIENTO;765;AJUSTES PARA FORMALETA ANDESCOL DE 60 X 1200;4;201765;MANTENIMIENTO_765;3,3333
2;MANTENIMIENTO;1;MANTENIMIENTO;766;AJUSTES PARA FORMALETA ANDESCOL DE 80 X 1200;5;201766;MANTENIMIENTO_766;3,3333
2;MANTENIMIENTO;1;MANTENIMIENTO;2498;AJUSTES PARA FORMALETA de 150 x 200 MM;0;2012498;MANTENIMIENTO_2498;3
2;MANTENIMIENTO;1;MANTENIMIENTO;2499;AJUSTES PARA FORMALETA de 200 x 300 MM;0;2012499;MANTENIMIENTO_2499;3
2;MANTENIMIENTO;1;MANTENIMIENTO;2500;AJUSTES PARA FORMALETA de 200 x 500 MM;0;2012500;MANTENIMIENTO_2500;3
2;MANTENIMIENTO;1;MANTENIMIENTO;1856;ALINEADOR GRAN FORMATO 1000 MM;7,1;2011856;MANTENIMIENTO_1856;2,25
2;MANTENIMIENTO;1;MANTENIMIENTO;2539;ALINEADOR GRAN FORMATO 1200 MM;8,52;2012539;MANTENIMIENTO_2539;2,5
2;MANTENIMIENTO;1;MANTENIMIENTO;2533;ALINEADOR GRAN FORMATO 1500 MM;10,65;2012533;MANTENIMIENTO_2533;2,5
2;MANTENIMIENTO;1;MANTENIMIENTO;1857;ALINEADOR GRAN FORMATO 2000 MM;17,75;2011857;MANTENIMIENTO_1857;2,5
2;MANTENIMIENTO;1;MANTENIMIENTO;1876;ALINEADOR GRAN FORMATO 2500 MM;5,31;2011876;MANTENIMIENTO_1876;2,5
2;MANTENIMIENTO;1;MANTENIMIENTO;1858;ALINEADOR GRAN FORMATO 3000 MM;21,3;2011858;MANTENIMIENTO_1858;3
2;MANTENIMIENTO;1;MANTENIMIENTO;2578;ALINEADOR GRAN FORMATO 3500 MM;24,85;2012578;MANTENIMIENTO_2578;3
2;MANTENIMIENTO;1;MANTENIMIENTO;1859;ALINEADOR GRAN FORMATO 4000 MM;28,4;2011859;MANTENIMIENTO_1859;4
2;MANTENIMIENTO;1;MANTENIMIENTO;2577;ALINEADOR GRAN FORMATO 600 MM;1,28;2012577;MANTENIMIENTO_2577;2
2;MANTENIMIENTO;1;MANTENIMIENTO;1869;ALINEADOR GRAN FORMATO 6000 MM;42,6;2011869;MANTENIMIENTO_1869;6
