NOMBRE;GRUPO
MANTENIMIENTO;MANTENIMIENTO
ENDEREZAR;MANTENIMIENTO
ENSAMBLAR;MANTENIMIENTO
LIMPIAR;MANTENIMIENTO
LUBRICAR / ENGRASAR;MANTENIMIENTO
MARCAR / PINTAR;MANTENIMIENTO
SOLDADURA;MANTENIMIENTO
REPARACION;MANTENIMIENTO
ENSAMBLE;MANTENIMIENTO
IMPERMEABILIZAR;MANTENIMIENTO
LIJAR;MANTENIMIENTO
MASILLAR;MANTENIMIENTO
SELECCIÓN;MANTENIMIENTO
LIJAR / LUBRICAR / IMPERMEABILIZAR;MANTENIMIENTO
RECORTAR;MANTENIMIENTO
LUBRICAR;MANTENIMIENTO
ARMADO;BODEGA
ASISTENCIA OBRA;BODEGA
ASEO;BODEGA
CAPACITACION;BODEGA
MONTACARGA;BODEGA
ORGANIZAR;BODEGA
INVENTARIO;BODEGA
INCAPACIDAD;PERSONAL
PERMISOS;PERSONAL
VACACIONES;PERSONAL
AUSENTISMO;PERSONAL
SUSPENSION;PERSONAL
CARGUE Y DESCARGE;TRANSPORTE
TRANSPORTE;TRANSPORTE
